# http://www.vendian.org/mncharity/dir3/blackbody/UnstableURLs/bbr_color.html
#Teff  R   G   B
19700 174 193 255
19800 174 193 255
19900 173 193 255
20000 173 193 255
20100 173 193 255
20200 173 193 255
20300 173 193 255
20400 173 193 255
20500 173 193 255
20600 173 192 255
20700 172 192 255
20800 172 192 255
20900 172 192 255
21000 172 192 255
21100 172 192 255
21200 172 192 255
21300 172 192 255
21400 172 192 255
21500 171 192 255
21600 171 192 255
21700 171 191 255
21800 171 191 255
21900 171 191 255
22000 171 191 255
22100 171 191 255
22200 171 191 255
22300 171 191 255
22400 170 191 255
22500 170 191 255
22600 170 191 255
22700 170 191 255
22800 170 190 255
22900 170 190 255
23000 170 190 255
23100 170 190 255
23200 170 190 255
23300 170 190 255
23400 169 190 255
23500 169 190 255
23600 169 190 255
23700 169 190 255
23800 169 190 255
23900 169 190 255
24000 169 190 255
24100 169 190 255
24200 169 189 255
24300 169 189 255
24400 169 189 255
24500 168 189 255
24600 168 189 255
24700 168 189 255
24800 168 189 255
24900 168 189 255
25000 168 189 255
25100 168 189 255
25200 168 189 255
25300 168 189 255
25400 168 189 255
25500 168 189 255
25600 168 189 255
25700 167 188 255
25800 167 188 255
25900 167 188 255
26000 167 188 255
26100 167 188 255
26200 167 188 255
26300 167 188 255
26400 167 188 255
26500 167 188 255
26600 167 188 255
26700 167 188 255
26800 167 188 255
26900 167 188 255
27000 167 188 255
27100 166 188 255
27200 166 188 255
27300 166 188 255
27400 166 187 255
27500 166 187 255
27600 166 187 255
27700 166 187 255
27800 166 187 255
27900 166 187 255
28000 166 187 255
28100 166 187 255
28200 166 187 255
28300 166 187 255
28400 166 187 255
28500 166 187 255
28600 166 187 255
28700 165 187 255
28800 165 187 255
28900 165 187 255
29000 165 187 255
29100 165 187 255
29200 165 187 255
29300 165 187 255
29400 165 187 255
29500 165 186 255
29600 165 186 255
29700 165 186 255
29800 165 186 255
29900 165 186 255
30000 165 186 255
30100 165 186 255
30200 165 186 255
30300 165 186 255
30400 165 186 255
30500 165 186 255
30600 164 186 255
30700 164 186 255
30800 164 186 255
30900 164 186 255
31000 164 186 255
31100 164 186 255
31200 164 186 255
31300 164 186 255
31400 164 186 255
31500 164 186 255
31600 164 186 255
31700 164 186 255
31800 164 186 255
31900 164 186 255
32000 164 185 255
32100 164 185 255
32200 164 185 255
32300 164 185 255
32400 164 185 255
32500 164 185 255
32600 164 185 255
32700 163 185 255
32800 163 185 255
32900 163 185 255
33000 163 185 255
33100 163 185 255
33200 163 185 255
33300 163 185 255
33400 163 185 255
33500 163 185 255
33600 163 185 255
33700 163 185 255
33800 163 185 255
33900 163 185 255
34000 163 185 255
34100 163 185 255
34200 163 185 255
34300 163 185 255
34400 163 185 255
34500 163 185 255
34600 163 185 255
34700 163 185 255
34800 163 185 255
34900 163 185 255
35000 163 184 255
35100 163 184 255
35200 162 184 255
35300 162 184 255
35400 162 184 255
35500 162 184 255
35600 162 184 255
35700 162 184 255
35800 162 184 255
35900 162 184 255
36000 162 184 255
36100 162 184 255
36200 162 184 255
36300 162 184 255
36400 162 184 255
36500 162 184 255
36600 162 184 255
36700 162 184 255
36800 162 184 255
36900 162 184 255
37000 162 184 255
37100 162 184 255
37200 162 184 255
37300 162 184 255
37400 162 184 255
37500 162 184 255
37600 162 184 255
37700 162 184 255
37800 162 184 255
37900 162 184 255
38000 162 184 255
38100 162 184 255
38200 162 184 255
38300 161 184 255
38400 161 184 255
38500 161 184 255
38600 161 183 255
38700 161 183 255
38800 161 183 255
38900 161 183 255
39000 161 183 255
39100 161 183 255
39200 161 183 255
39300 161 183 255
39400 161 183 255
39500 161 183 255
39600 161 183 255
39700 161 183 255
39800 161 183 255
39900 161 183 255
40000 161 183 255
